
,,,,,,,,,,"Entrepreneur Report",,,,,,,,
,,,,,,,,,,"Date: 12.10.2025",,,,,,,,

,,,,,,,,,,"October, 2025",,,,,,,,

Sl,"Agent Name","Agent ID","Agent Number","No. of Users","No. of Agents (Present)","Total No. of Agents Required","Package Name","Package Cost","1st Payment","2nd Payment","3rd Payment",DUE,References,"Payment Type","Club Rank","Leader References","Noting Date"
1,"NAHIM Mashiat",185443,01704239929,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01726340678 (nazmun nahar)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
2,"NAHIM Mashiat 1",185443,0170423992901,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
3,"NAHIM Mashiat 2",185443,0170423992902,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
4,"NAHIM Mashiat 3",185443,0170423992903,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
5,"NAHIM Mashiat 4",185443,0170423992904,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
6,"NAHIM Mashiat 5",185443,0170423992905,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
7,"NAHIM Mashiat 6",185443,0170423992906,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
8,"NAHIM Mashiat 7",185443,0170423992907,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
9,"NAHIM Mashiat 8",185443,0170423992908,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
10,"NAHIM Mashiat 9",185443,0170423992909,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
11,"NAHIM Mashiat 10",185443,0170423992910,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
12,"NAHIM Mashiat 11",185443,0170423992911,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
13,"NAHIM Mashiat 12",185443,0170423992912,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
14,"NAHIM Mashiat 13",185443,0170423992913,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
15,"NAHIM Mashiat 14",185443,0170423992914,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
16,"NAHIM Mashiat 15",185443,0170423992915,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
17,"NAHIM Mashiat 16",185443,0170423992916,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
18,"NAHIM Mashiat 17",185443,0170423992917,0,0,100,"City & Resort",310000.00,0.00,,,310000.00,"01704239929 (nAHIM Mashiat)",DUE,"City & Resort (swanirvar)","01726340678 (nazmun nahar)","2025-10-12 00:00:00"
