
,,,,,,,,,,"Entrepreneur Report",,,,,,,,
,,,,,,,,,,"Date: 12.10.2025",,,,,,,,

,,,,,,,,,,"October, 2025",,,,,,,,

Sl,"Agent Name","Agent ID","Agent Number","No. of Users","No. of Agents (Present)","Total No. of Agents Required","Package Name","Package Cost","1st Payment","2nd Payment","3rd Payment",DUE,References,"Payment Type","Club Rank","Leader References","Noting Date"
1,"Afia konok 35",2268,0194275622935,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
2,"Afia konok 36",2268,0194275622936,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
3,"Afia konok 37",2268,0194275622937,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
4,"Afia konok 38",2268,0194275622938,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
5,"Afia konok 39",2268,0194275622939,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
6,"Afia konok 40",2268,0194275622940,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
7,"Afia konok 41",2268,0194275622941,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
8,"Afia konok 42",2268,0194275622942,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
9,"Afia konok 43",2268,0194275622943,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
10,"Afia konok 44",2268,0194275622944,16,115,15,Merchant,310000.00,0.00,,,310000.00,"0194275622903 (Afia konok 3)",DUE,"Shawnirvor (City & Resort)","01840279243 (Tazul Islam)","2025-10-12 00:00:00"
,"Grand Total",,,160,1150,150,,3100000,0,0,0,3100000,,,,
,,,
,"Prepared By:",,,,,,,,,,,,,,,"Approved By:"
,"Md. Serajul Islam Biplob",,,,,,,,,,,,,,,"Ln. Saiful Islam Shohel"
,"Sr. Manager (Accounts & Finance)",,,,,,,,,,,,,,,"Managing Director & CEO"
,"Otithee Limited",,,,,,,,,,,,,,,"Otithee Limited"
