
,,,,,,,,,,"Entrepreneur Report",,,,,,,,
,,,,,,,,,,"Date: 12.10.2025",,,,,,,,

,,,,,,,,,,"October, 2025",,,,,,,,

Sl,"Agent Name","Agent ID","Agent Number","No. of Users","No. of Agents (Present)","Total No. of Agents Required","Package Name","Package Cost","1st Payment","2nd Payment","3rd Payment",DUE,References,"Payment Type","Club Rank","Leader References","Noting Date"
1,"mainuddin mainuddin",185400,01898762139,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01630787802 (masud rana)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
2,"mainuddin mainuddin 1",185400,0189876213901,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
3,"mainuddin mainuddin 2",185400,0189876213902,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
4,"mainuddin mainuddin 3",185400,0189876213903,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
5,"mainuddin mainuddin 4",185400,0189876213904,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
6,"mainuddin mainuddin 5",185400,0189876213905,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
7,"mainuddin mainuddin 6",185400,0189876213906,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
8,"mainuddin mainuddin 7",185400,0189876213907,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
9,"mainuddin mainuddin 8",185400,0189876213908,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
10,"mainuddin mainuddin 9",185400,0189876213909,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
11,"mainuddin mainuddin 10",185400,0189876213910,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
12,"mainuddin mainuddin 11",185400,0189876213911,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
13,"mainuddin mainuddin 12",185400,0189876213912,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
14,"mainuddin mainuddin 13",185400,0189876213913,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
15,"mainuddin mainuddin 14",185400,0189876213914,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
16,"mainuddin mainuddin 15",185400,0189876213915,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
17,"mainuddin mainuddin 16",185400,0189876213916,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
18,"mainuddin mainuddin 17",185400,0189876213917,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
19,"mainuddin mainuddin 18",185400,0189876213918,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
20,"mainuddin mainuddin 19",185400,0189876213919,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
21,"mainuddin mainuddin 20",185400,0189876213920,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
22,"mainuddin mainuddin 21",185400,0189876213921,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
23,"mainuddin mainuddin 22",185400,0189876213922,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
24,"mainuddin mainuddin 23",185400,0189876213923,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
25,"mainuddin mainuddin 24",185400,0189876213924,0,0,100,"City & Resort",310000.00,201000.00,,,109000.00,"01898762139 (mainuddin mainuddin)",bank_deposit_DBBL_OSSL,"Shawnirvor (City & Resort)","01738022033 (Mohammad Mahfuzul Haque)","2025-10-12 00:00:00"
,"Grand Total",,,0,0,2500,,7750000,5025000,0,0,2725000,,,,
,,,
,"Prepared By:",,,,,,,,,,,,,,,"Approved By:"
,"Md. Serajul Islam Biplob",,,,,,,,,,,,,,,"Ln. Saiful Islam Shohel"
,"Sr. Manager (Accounts & Finance)",,,,,,,,,,,,,,,"Managing Director & CEO"
,"Otithee Limited",,,,,,,,,,,,,,,"Otithee Limited"
